Year,Job_Title,Salary_USD,Industry,Location,Experience_Level,AI_Adoption_Level,Required_Skills,Job_Openings,Remote_Work,Growth_Rate,Company_Size,Job_Type,Gender_Diversity_Index,Hiring_Frequency,Skill_Complexity
2016,Data Scientist,64356,Retail,Austin,Junior,High,"Python, ML, AI",55,Hybrid,6.0,Large (>500 employees),Internship,0.98,High,Medium
2024,DL Engineer,133823,Finance,Austin,Senior,Medium,"Sales, CRM, TensorFlow, PyTorch",190,Yes,18.0,Large (>500 employees),Internship,0.51,High,Medium
2022,AI Researcher,143394,Healthcare,San Jose,Junior,Low,"Python, ML, AI, TensorFlow, PyTorch",402,No,19.9,Small (<50 employees),Contract,0.96,High,High
2013,Data Scientist,101137,Education,San Francisco,Senior,High,"Python, SQL, Stats",248,Yes,9.3,Small (<50 employees),Full-time,0.96,Medium,High
2012,Salesforce Administrator,90774,Research,New York,Mid,Medium,"Sales, CRM",453,No,21.4,Medium (50-500 employees),Contract,0.92,High,Medium
2015,AI Engineer,70099,Finance,San Francisco,Senior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",374,Hybrid,15.2,Large (>500 employees),Full-time,0.29,High,High
2017,Salesforce Administrator,126487,Finance,Chicago,Mid,Low,"Python, ML, AI",353,No,17.4,Small (<50 employees),Part-time,0.44,Medium,High
2015,Salesforce Administrator,128278,Retail,Houston,Junior,Low,"Python, SQL, Stats",225,No,12.3,Small (<50 employees),Part-time,0.51,Medium,High
2012,Data Scientist,112838,Finance,New York,Senior,High,"Python, ML, AI",136,Yes,21.7,Small (<50 employees),Internship,0.18,High,Medium
2024,AI Researcher,67931,Technology,New York,Senior,Medium,"Python, ML, AI, TensorFlow, PyTorch",419,Hybrid,21.1,Medium (50-500 employees),Contract,0.81,Medium,High
2011,Data Scientist,119602,Manufacturing,New York,Junior,High,"Sales, CRM",206,Yes,20.9,Large (>500 employees),Part-time,0.69,Low,Medium
2017,AI Engineer,139673,Healthcare,Austin,Mid,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",451,Hybrid,5.4,Small (<50 employees),Full-time,0.14,High,High
2020,ML Engineer,73778,Technology,New York,Junior,High,"Python, ML, AI, TensorFlow, PyTorch",228,Yes,11.2,Medium (50-500 employees),Internship,0.19,High,Medium
2013,ML Engineer,129070,Retail,San Jose,Senior,High,"AI, Research, TensorFlow, PyTorch",265,No,14.1,Large (>500 employees),Contract,0.85,High,Low
2018,Data Scientist,75972,Research,Seattle,Junior,Low,"Python, ML, AI",380,No,14.5,Large (>500 employees),Part-time,0.45,High,Medium
2015,Data Scientist,145141,Healthcare,San Francisco,Senior,Low,"Python, ML, AI",493,Yes,16.0,Large (>500 employees),Full-time,0.55,High,Low
2013,Salesforce Consultant,103520,Technology,Chicago,Junior,Medium,"AI, Research",194,Hybrid,21.3,Medium (50-500 employees),Internship,0.28,Low,Medium
2021,Data Scientist,111380,Retail,Boston,Senior,High,"AI, Research",361,Hybrid,11.0,Large (>500 employees),Internship,0.88,Medium,High
2016,AI Researcher,77368,Technology,Seattle,Junior,High,"AI, Research, TensorFlow, PyTorch",331,No,18.4,Medium (50-500 employees),Contract,0.81,High,Low
2019,AI Researcher,130936,Research,Austin,Junior,Medium,"AI, Research, TensorFlow, PyTorch",73,No,4.9,Small (<50 employees),Contract,0.47,High,Low
2014,Data Scientist,70236,Manufacturing,Houston,Senior,Low,"Sales, CRM",434,No,9.1,Large (>500 employees),Internship,0.11,Medium,Medium
2016,Salesforce Administrator,148112,Healthcare,Austin,Junior,Medium,"Python, SQL, Stats",367,Hybrid,21.2,Small (<50 employees),Full-time,0.12,High,High
2016,Salesforce Developer,129836,Technology,Austin,Junior,Low,"AI, Research",262,Hybrid,2.3,Small (<50 employees),Part-time,0.47,High,Low
2010,AI Engineer,70941,Technology,Austin,Junior,High,"AI, Research, TensorFlow, PyTorch",365,No,12.2,Small (<50 employees),Internship,0.5,Medium,Medium
2010,Salesforce Administrator,124175,Research,Seattle,Junior,Low,"AI, Research",146,Yes,13.9,Small (<50 employees),Full-time,0.98,High,High
2017,Salesforce Developer,104243,Research,Chicago,Mid,Low,"Python, ML, AI",315,Yes,19.9,Medium (50-500 employees),Part-time,0.26,Medium,Low
2011,Data Scientist,67977,Education,Houston,Senior,Medium,"Sales, CRM",466,No,12.4,Small (<50 employees),Part-time,0.67,Medium,High
2012,Data Scientist,64808,Education,Chicago,Mid,Low,"Python, ML, AI",213,Yes,15.2,Medium (50-500 employees),Full-time,0.19,Low,High
2024,Salesforce Developer,143708,Technology,Houston,Junior,Low,"Python, SQL, Stats",187,Hybrid,19.4,Small (<50 employees),Internship,0.95,High,Low
2018,Data Scientist,79534,Manufacturing,Boston,Junior,High,"Sales, CRM",349,Hybrid,20.8,Medium (50-500 employees),Internship,0.15,Medium,High
2016,Data Scientist,139088,Retail,Austin,Senior,Low,"Python, ML, AI",328,Hybrid,17.7,Small (<50 employees),Part-time,0.51,Medium,Low
2013,AI Engineer,119692,Healthcare,Austin,Junior,High,"Sales, CRM, TensorFlow, PyTorch",160,Yes,14.4,Large (>500 employees),Contract,0.67,Medium,High
2016,DL Engineer,143175,Healthcare,Austin,Mid,High,"Python, SQL, Stats, TensorFlow, PyTorch",498,Yes,12.3,Medium (50-500 employees),Part-time,0.15,High,Medium
2013,AI Researcher,97082,Education,Houston,Junior,High,"Python, SQL, Stats, TensorFlow, PyTorch",473,Yes,7.1,Medium (50-500 employees),Contract,0.18,High,Low
2017,AI Engineer,129064,Manufacturing,San Francisco,Senior,High,"Python, ML, AI, TensorFlow, PyTorch",496,No,9.2,Medium (50-500 employees),Full-time,0.6,High,Medium
2017,Salesforce Administrator,104098,Manufacturing,San Francisco,Junior,Medium,"Sales, CRM",417,Hybrid,13.1,Small (<50 employees),Full-time,0.58,High,High
2014,AI Researcher,136479,Retail,New York,Mid,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",268,No,19.7,Small (<50 employees),Internship,0.35,High,High
2023,Salesforce Administrator,63641,Education,New York,Junior,Medium,"Sales, CRM",332,Hybrid,21.6,Medium (50-500 employees),Part-time,0.54,Medium,Medium
2014,ML Engineer,89567,Manufacturing,San Francisco,Senior,Low,"Python, ML, AI, TensorFlow, PyTorch",162,No,1.7,Small (<50 employees),Full-time,0.81,High,Medium
2024,AI Researcher,148885,Finance,Chicago,Senior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",131,No,11.3,Large (>500 employees),Internship,0.9,High,High
2012,DL Engineer,106638,Finance,Boston,Mid,Low,"AI, Research, TensorFlow, PyTorch",50,No,10.6,Small (<50 employees),Internship,0.37,Medium,Medium
2017,AI Researcher,129181,Education,Austin,Senior,High,"Python, SQL, Stats, TensorFlow, PyTorch",130,Yes,23.5,Medium (50-500 employees),Part-time,0.16,Medium,Low
2013,Salesforce Developer,79771,Manufacturing,Chicago,Senior,Medium,"Python, ML, AI",230,No,18.3,Medium (50-500 employees),Full-time,0.11,Medium,Low
2021,Data Scientist,73544,Technology,Chicago,Mid,Low,"Python, ML, AI",298,Hybrid,13.6,Large (>500 employees),Part-time,0.13,Medium,Low
2013,DL Engineer,112678,Research,Miami,Mid,Low,"Sales, CRM, TensorFlow, PyTorch",398,Yes,3.0,Small (<50 employees),Internship,0.93,Low,Medium
2012,ML Engineer,109223,Education,New York,Junior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",64,Yes,5.2,Small (<50 employees),Part-time,0.38,High,High
2010,Salesforce Developer,133006,Technology,Chicago,Mid,Medium,"AI, Research",83,Yes,18.1,Small (<50 employees),Internship,0.39,High,Medium
2022,AI Researcher,132249,Retail,Chicago,Mid,High,"AI, Research, TensorFlow, PyTorch",339,No,8.5,Large (>500 employees),Full-time,0.67,High,High
2011,Data Scientist,63060,Retail,New York,Junior,Low,"AI, Research",410,No,19.6,Small (<50 employees),Full-time,0.16,High,Medium
2017,Data Scientist,64636,Education,Houston,Junior,High,"Python, SQL, Stats",275,No,18.2,Small (<50 employees),Part-time,0.28,High,High
2018,DL Engineer,98707,Education,Chicago,Senior,Medium,"AI, Research, TensorFlow, PyTorch",209,No,23.2,Medium (50-500 employees),Full-time,0.36,Low,Medium
2019,AI Researcher,82236,Retail,Chicago,Mid,Low,"Python, SQL, Stats, TensorFlow, PyTorch",161,No,12.8,Large (>500 employees),Internship,0.44,High,Medium
2011,AI Researcher,82627,Finance,Boston,Mid,Low,"AI, Research, TensorFlow, PyTorch",184,Hybrid,20.7,Large (>500 employees),Contract,0.95,Medium,High
2023,Data Scientist,110149,Retail,New York,Junior,High,"AI, Research",484,Yes,23.2,Medium (50-500 employees),Part-time,0.68,High,Low
2015,Data Scientist,135143,Manufacturing,Miami,Mid,High,"Python, ML, AI",398,No,24.6,Medium (50-500 employees),Contract,0.7,High,Low
2015,Data Scientist,101184,Retail,Chicago,Junior,Medium,"Sales, CRM",423,No,4.9,Small (<50 employees),Part-time,0.52,Low,Medium
2016,Data Scientist,114911,Manufacturing,Chicago,Junior,Low,"AI, Research",495,Yes,6.5,Medium (50-500 employees),Contract,0.56,Low,Medium
2022,AI Engineer,126825,Research,New York,Mid,High,"Python, SQL, Stats, TensorFlow, PyTorch",251,No,15.9,Medium (50-500 employees),Contract,0.59,Medium,Medium
2016,Salesforce Administrator,93647,Healthcare,New York,Senior,Medium,"Python, ML, AI",371,Yes,24.8,Large (>500 employees),Full-time,0.79,Medium,High
2013,Salesforce Administrator,76994,Retail,Miami,Mid,High,"Sales, CRM",208,No,5.8,Large (>500 employees),Contract,0.18,Low,High
2018,Data Scientist,89388,Technology,Boston,Senior,Medium,"Sales, CRM",78,Hybrid,21.1,Large (>500 employees),Part-time,0.18,High,Low
2022,AI Researcher,76148,Research,Austin,Junior,High,"Sales, CRM, TensorFlow, PyTorch",463,No,11.0,Large (>500 employees),Part-time,0.52,Medium,Medium
2024,AI Engineer,67727,Education,Austin,Junior,Low,"AI, Research, TensorFlow, PyTorch",398,Yes,1.7,Medium (50-500 employees),Part-time,0.94,High,Medium
2016,Data Scientist,145934,Research,San Jose,Mid,Low,"Sales, CRM",180,No,6.5,Small (<50 employees),Contract,0.11,High,Medium
2011,AI Researcher,80876,Retail,Miami,Senior,High,"Sales, CRM, TensorFlow, PyTorch",361,Hybrid,9.8,Small (<50 employees),Internship,0.8,High,Medium
2017,Salesforce Developer,95868,Retail,Austin,Senior,Low,"Sales, CRM",203,Hybrid,13.6,Small (<50 employees),Part-time,0.49,High,High
2021,AI Researcher,90929,Technology,Austin,Mid,Low,"Python, SQL, Stats, TensorFlow, PyTorch",372,Yes,16.2,Medium (50-500 employees),Part-time,0.21,Medium,Medium
2021,AI Researcher,85203,Retail,Austin,Senior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",55,Yes,8.7,Large (>500 employees),Internship,0.66,High,High
2014,AI Researcher,128869,Manufacturing,Miami,Mid,High,"Sales, CRM, TensorFlow, PyTorch",489,Hybrid,24.5,Medium (50-500 employees),Full-time,0.53,Low,Low
2010,Data Scientist,124573,Retail,San Jose,Junior,High,"Python, ML, AI",331,No,7.6,Medium (50-500 employees),Full-time,0.45,Medium,High
2024,Salesforce Administrator,117892,Education,Miami,Mid,High,"Sales, CRM",154,Yes,23.0,Large (>500 employees),Contract,0.41,Medium,High
2016,AI Researcher,134064,Research,New York,Junior,High,"AI, Research, TensorFlow, PyTorch",246,Hybrid,18.9,Large (>500 employees),Contract,0.15,Low,High
2012,DL Engineer,128743,Manufacturing,Austin,Senior,High,"AI, Research, TensorFlow, PyTorch",207,Yes,11.6,Medium (50-500 employees),Internship,0.38,Medium,Low
2013,AI Researcher,78280,Manufacturing,New York,Mid,Medium,"Python, ML, AI, TensorFlow, PyTorch",77,No,7.1,Large (>500 employees),Full-time,0.17,Low,High
2017,Salesforce Developer,120337,Finance,Seattle,Senior,Medium,"AI, Research",411,Hybrid,3.9,Large (>500 employees),Full-time,0.72,High,High
2015,ML Engineer,88867,Research,Austin,Senior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",444,No,2.6,Medium (50-500 employees),Full-time,0.87,High,Low
2013,AI Researcher,74077,Research,Miami,Mid,High,"Python, ML, AI, TensorFlow, PyTorch",470,Yes,6.6,Large (>500 employees),Contract,0.94,High,Medium
2019,Salesforce Developer,127486,Healthcare,Houston,Senior,High,"AI, Research",413,No,14.7,Large (>500 employees),Part-time,0.75,High,Medium
2021,Data Scientist,106743,Manufacturing,Boston,Senior,Medium,"Python, ML, AI",301,Yes,10.2,Large (>500 employees),Internship,0.63,High,Medium
2011,Salesforce Consultant,68621,Research,Austin,Mid,Medium,"Python, ML, AI",234,Hybrid,23.6,Large (>500 employees),Part-time,0.41,High,Low
2018,AI Researcher,131589,Education,Houston,Senior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",95,Yes,7.9,Medium (50-500 employees),Full-time,0.93,High,Low
2020,DL Engineer,63957,Retail,Boston,Senior,Medium,"AI, Research, TensorFlow, PyTorch",302,Yes,13.8,Medium (50-500 employees),Part-time,0.39,Medium,Medium
2017,ML Engineer,69717,Finance,Houston,Junior,Low,"AI, Research, TensorFlow, PyTorch",178,Yes,16.8,Small (<50 employees),Part-time,0.73,High,Medium
2011,Salesforce Consultant,96678,Manufacturing,Houston,Senior,Medium,"AI, Research",156,No,3.9,Large (>500 employees),Contract,0.3,Medium,High
2013,AI Researcher,60019,Education,Boston,Mid,High,"Sales, CRM, TensorFlow, PyTorch",308,Yes,23.2,Medium (50-500 employees),Part-time,0.54,Low,Medium
2022,AI Researcher,114084,Manufacturing,Seattle,Junior,High,"AI, Research, TensorFlow, PyTorch",425,Hybrid,4.5,Small (<50 employees),Full-time,0.26,High,Low
2021,AI Researcher,125167,Technology,Houston,Junior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",75,Hybrid,1.9,Large (>500 employees),Internship,0.27,High,Medium
2013,AI Engineer,92565,Research,Chicago,Junior,High,"Python, ML, AI, TensorFlow, PyTorch",231,Yes,22.4,Large (>500 employees),Full-time,0.34,Low,Low
2018,Salesforce Consultant,84975,Research,Seattle,Senior,High,"Sales, CRM",257,No,22.9,Small (<50 employees),Part-time,0.31,High,Low
2024,AI Researcher,148189,Technology,Houston,Senior,Medium,"Python, ML, AI, TensorFlow, PyTorch",374,No,17.4,Small (<50 employees),Full-time,1.0,Medium,Medium
2018,Data Scientist,126082,Technology,San Jose,Junior,Medium,"AI, Research",309,No,1.8,Large (>500 employees),Internship,0.12,Medium,Medium
2016,Data Scientist,90598,Education,Austin,Mid,Medium,"Python, SQL, Stats",186,Hybrid,5.2,Medium (50-500 employees),Full-time,0.43,High,Medium
2019,Salesforce Administrator,144047,Research,Seattle,Mid,Low,"Python, ML, AI",289,Yes,22.4,Small (<50 employees),Contract,0.97,Low,Medium
2016,Salesforce Developer,117261,Education,San Jose,Mid,Medium,"AI, Research",292,No,2.2,Large (>500 employees),Part-time,0.21,Low,Medium
2011,Data Scientist,87812,Finance,Houston,Junior,Low,"Python, SQL, Stats",489,Hybrid,14.2,Medium (50-500 employees),Contract,0.32,High,Medium
2014,Data Scientist,94600,Retail,New York,Junior,Low,"Python, ML, AI",499,Hybrid,5.9,Medium (50-500 employees),Internship,0.35,Low,High
2014,ML Engineer,125422,Finance,Austin,Mid,High,"AI, Research, TensorFlow, PyTorch",185,Hybrid,10.5,Small (<50 employees),Contract,0.51,High,Medium
2013,AI Researcher,125548,Manufacturing,Boston,Mid,High,"Python, SQL, Stats, TensorFlow, PyTorch",368,Yes,20.5,Large (>500 employees),Part-time,0.42,Medium,Medium
2011,AI Researcher,85017,Education,Chicago,Senior,High,"Python, SQL, Stats, TensorFlow, PyTorch",287,Yes,22.2,Small (<50 employees),Internship,0.93,High,Medium
2016,Data Scientist,80387,Manufacturing,New York,Junior,Low,"Python, SQL, Stats",273,Hybrid,7.5,Large (>500 employees),Part-time,0.73,High,Medium
2010,Salesforce Developer,64310,Research,Miami,Mid,Low,"AI, Research",230,Yes,22.3,Small (<50 employees),Contract,0.94,Low,High
2012,Salesforce Developer,119806,Education,New York,Senior,Low,"Python, SQL, Stats",363,Hybrid,4.7,Medium (50-500 employees),Contract,0.57,High,Medium
2016,Salesforce Consultant,61055,Healthcare,Houston,Mid,Medium,"AI, Research",377,No,23.3,Large (>500 employees),Contract,0.51,Low,Medium
2020,Data Scientist,117674,Healthcare,San Jose,Junior,Low,"Python, ML, AI",68,Hybrid,10.1,Medium (50-500 employees),Full-time,0.64,High,Medium
2014,AI Researcher,149206,Manufacturing,Miami,Senior,Low,"Sales, CRM, TensorFlow, PyTorch",437,Hybrid,1.8,Small (<50 employees),Internship,0.25,High,Medium
2024,AI Researcher,115622,Finance,San Jose,Junior,Low,"Sales, CRM, TensorFlow, PyTorch",211,Hybrid,22.8,Medium (50-500 employees),Internship,0.85,Low,Medium
2022,Salesforce Consultant,137430,Manufacturing,New York,Junior,High,"Sales, CRM",74,Hybrid,9.8,Small (<50 employees),Internship,0.73,Medium,Medium
2013,DL Engineer,80859,Technology,San Francisco,Junior,Low,"Sales, CRM, TensorFlow, PyTorch",95,No,4.6,Medium (50-500 employees),Full-time,0.89,High,Medium
2014,AI Researcher,123968,Retail,New York,Mid,Low,"Sales, CRM, TensorFlow, PyTorch",74,Yes,3.9,Large (>500 employees),Contract,0.1,Medium,Low
2010,Salesforce Administrator,63167,Education,New York,Mid,Medium,"Sales, CRM",360,Yes,20.7,Small (<50 employees),Part-time,0.72,Low,High
2012,AI Engineer,137488,Finance,Miami,Senior,Medium,"Sales, CRM, TensorFlow, PyTorch",379,Yes,9.5,Small (<50 employees),Part-time,0.16,High,Low
2010,AI Researcher,102327,Retail,Chicago,Mid,High,"Python, ML, AI, TensorFlow, PyTorch",378,No,22.1,Small (<50 employees),Full-time,0.12,High,Medium
2015,Salesforce Administrator,91831,Technology,Austin,Mid,High,"AI, Research",145,Hybrid,16.3,Small (<50 employees),Internship,0.96,Medium,Medium
2011,Salesforce Administrator,121745,Finance,Houston,Junior,High,"AI, Research",104,Yes,12.3,Large (>500 employees),Internship,0.3,Low,Medium
2012,Salesforce Consultant,87373,Manufacturing,Miami,Senior,High,"Sales, CRM",498,Yes,12.2,Small (<50 employees),Contract,0.98,Medium,Medium
2021,Data Scientist,137377,Research,Boston,Junior,High,"AI, Research",357,Hybrid,17.2,Large (>500 employees),Internship,0.24,Medium,Medium
2019,Salesforce Consultant,141839,Technology,Boston,Senior,High,"Sales, CRM",186,Yes,14.1,Small (<50 employees),Contract,0.49,High,High
2017,DL Engineer,132688,Manufacturing,New York,Mid,High,"Python, ML, AI, TensorFlow, PyTorch",472,Yes,7.0,Large (>500 employees),Internship,0.64,High,Low
2011,AI Researcher,110505,Research,Miami,Junior,High,"Python, ML, AI, TensorFlow, PyTorch",177,No,13.8,Small (<50 employees),Internship,0.41,High,Low
2022,AI Engineer,99433,Finance,San Jose,Senior,Medium,"Sales, CRM, TensorFlow, PyTorch",293,Hybrid,16.7,Small (<50 employees),Part-time,0.56,Medium,High
2021,Salesforce Consultant,148197,Education,Seattle,Senior,Low,"Python, SQL, Stats",147,Hybrid,6.7,Medium (50-500 employees),Part-time,0.86,Medium,High
2015,Salesforce Administrator,133821,Research,Houston,Junior,High,"AI, Research",327,Yes,23.0,Large (>500 employees),Full-time,0.79,Medium,Low
2022,AI Researcher,68957,Research,Austin,Junior,Low,"AI, Research, TensorFlow, PyTorch",269,Hybrid,5.5,Small (<50 employees),Part-time,0.92,Medium,Low
2018,Salesforce Developer,122487,Research,San Jose,Mid,Low,"Python, ML, AI",113,Hybrid,10.0,Large (>500 employees),Internship,0.22,Low,Medium
2016,AI Researcher,72414,Healthcare,Chicago,Mid,High,"Sales, CRM, TensorFlow, PyTorch",270,Yes,23.5,Large (>500 employees),Contract,0.16,Medium,Medium
2015,AI Researcher,80815,Retail,New York,Mid,High,"AI, Research, TensorFlow, PyTorch",120,Yes,6.7,Medium (50-500 employees),Internship,0.63,Medium,Medium
2021,AI Researcher,109425,Retail,Seattle,Junior,Low,"Sales, CRM, TensorFlow, PyTorch",90,No,6.7,Small (<50 employees),Internship,0.53,High,Medium
2010,AI Engineer,129880,Technology,Boston,Senior,Low,"Python, ML, AI, TensorFlow, PyTorch",73,Hybrid,21.5,Medium (50-500 employees),Contract,0.41,Low,High
2021,Data Scientist,133757,Technology,Austin,Junior,High,"Python, ML, AI",269,Hybrid,15.9,Large (>500 employees),Contract,0.69,High,Low
2011,AI Researcher,72686,Education,San Jose,Mid,Low,"Sales, CRM, TensorFlow, PyTorch",406,Yes,5.6,Small (<50 employees),Internship,0.73,High,High
2020,Salesforce Consultant,139491,Manufacturing,Austin,Mid,High,"AI, Research",138,Yes,22.9,Large (>500 employees),Contract,0.38,High,Medium
2024,AI Engineer,115873,Education,Seattle,Mid,High,"Python, ML, AI, TensorFlow, PyTorch",232,Yes,23.5,Large (>500 employees),Full-time,0.37,High,Medium
2013,Data Scientist,131890,Technology,Seattle,Mid,High,"Python, SQL, Stats",473,Hybrid,12.6,Medium (50-500 employees),Full-time,0.89,High,Medium
2020,ML Engineer,65493,Finance,Austin,Senior,High,"Python, SQL, Stats, TensorFlow, PyTorch",304,Hybrid,5.4,Large (>500 employees),Full-time,0.23,High,Medium
2012,Salesforce Developer,104790,Education,Houston,Junior,High,"Python, ML, AI",362,Hybrid,1.0,Large (>500 employees),Contract,0.84,High,Medium
2021,Salesforce Developer,114732,Retail,Chicago,Mid,Low,"AI, Research",343,Yes,3.1,Medium (50-500 employees),Full-time,0.78,Medium,Medium
2019,Salesforce Administrator,137532,Healthcare,Austin,Senior,Low,"Python, SQL, Stats",467,Hybrid,13.8,Medium (50-500 employees),Part-time,0.84,High,High
2011,DL Engineer,122639,Manufacturing,Seattle,Senior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",254,No,3.8,Medium (50-500 employees),Contract,0.51,Low,High
2015,ML Engineer,95913,Research,Houston,Senior,High,"Python, ML, AI, TensorFlow, PyTorch",306,No,14.5,Small (<50 employees),Internship,0.91,Medium,Medium
2011,AI Researcher,123573,Research,Boston,Senior,High,"Sales, CRM, TensorFlow, PyTorch",129,Hybrid,5.9,Medium (50-500 employees),Full-time,0.49,Medium,Medium
2017,Salesforce Developer,64767,Research,Austin,Senior,Medium,"Python, SQL, Stats",251,Hybrid,18.4,Medium (50-500 employees),Part-time,0.7,Medium,High
2019,DL Engineer,96562,Research,Chicago,Junior,High,"Python, SQL, Stats, TensorFlow, PyTorch",311,No,18.9,Large (>500 employees),Internship,0.93,Medium,Low
2019,Salesforce Developer,124867,Finance,San Jose,Junior,Medium,"Python, SQL, Stats",159,Hybrid,18.1,Large (>500 employees),Part-time,0.91,High,Low
2015,Data Scientist,117651,Healthcare,New York,Junior,Low,"Python, SQL, Stats",109,No,16.0,Small (<50 employees),Internship,0.63,Medium,Medium
2015,AI Researcher,135660,Retail,Austin,Senior,Low,"Python, ML, AI, TensorFlow, PyTorch",439,Yes,1.6,Large (>500 employees),Internship,0.47,Low,Low
2015,DL Engineer,142924,Research,Austin,Mid,High,"AI, Research, TensorFlow, PyTorch",156,Yes,2.0,Small (<50 employees),Contract,0.88,Medium,Medium
2010,AI Engineer,79425,Retail,San Jose,Mid,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",262,No,21.5,Medium (50-500 employees),Internship,0.88,High,High
2020,Salesforce Administrator,99919,Retail,San Jose,Senior,Low,"Sales, CRM",84,Hybrid,3.7,Small (<50 employees),Internship,0.57,Low,Low
2022,Salesforce Consultant,84743,Healthcare,Chicago,Mid,Medium,"Python, ML, AI",461,No,21.9,Large (>500 employees),Full-time,0.19,High,Medium
2024,Data Scientist,110275,Retail,San Francisco,Mid,High,"Python, ML, AI",449,No,3.2,Large (>500 employees),Part-time,0.28,Low,Low
2012,AI Researcher,80835,Technology,Houston,Mid,Low,"AI, Research, TensorFlow, PyTorch",130,Hybrid,17.2,Small (<50 employees),Internship,0.72,Low,Medium
2024,Data Scientist,95355,Research,Houston,Senior,Low,"Python, SQL, Stats",479,Yes,20.0,Small (<50 employees),Contract,0.28,High,High
2010,AI Engineer,148624,Healthcare,Austin,Senior,Low,"Python, ML, AI, TensorFlow, PyTorch",438,Hybrid,1.4,Small (<50 employees),Internship,0.63,Medium,Medium
2010,Salesforce Developer,97168,Retail,San Francisco,Junior,High,"AI, Research",329,No,9.5,Large (>500 employees),Contract,0.72,Medium,Medium
2014,AI Researcher,118967,Healthcare,Miami,Senior,Low,"Sales, CRM, TensorFlow, PyTorch",387,No,3.4,Large (>500 employees),Internship,0.22,Low,Medium
2013,Salesforce Administrator,92109,Finance,San Francisco,Senior,High,"Sales, CRM",184,Hybrid,9.9,Medium (50-500 employees),Contract,0.37,Medium,Medium
2024,Salesforce Developer,117930,Research,Austin,Mid,Medium,"AI, Research",368,No,12.7,Large (>500 employees),Internship,0.99,Medium,Medium
2024,Salesforce Developer,97392,Technology,Miami,Mid,Medium,"AI, Research",432,Yes,4.2,Medium (50-500 employees),Contract,0.98,Low,High
2010,AI Engineer,138218,Technology,San Jose,Junior,Medium,"Sales, CRM, TensorFlow, PyTorch",297,Hybrid,11.4,Large (>500 employees),Contract,0.23,Low,High
2022,Data Scientist,63998,Retail,Houston,Mid,Low,"Python, SQL, Stats",146,Hybrid,6.3,Small (<50 employees),Full-time,0.14,Medium,High
2012,Data Scientist,95905,Finance,Seattle,Mid,High,"Python, ML, AI",374,No,11.6,Medium (50-500 employees),Contract,0.64,Low,High
2024,Salesforce Administrator,89132,Manufacturing,Austin,Senior,Low,"AI, Research",110,Yes,12.7,Small (<50 employees),Contract,0.5,Low,High
2016,Salesforce Consultant,136453,Research,Austin,Senior,Low,"Python, SQL, Stats",135,Hybrid,9.7,Small (<50 employees),Internship,0.61,High,High
2016,AI Researcher,142213,Healthcare,Houston,Junior,High,"AI, Research, TensorFlow, PyTorch",233,No,3.5,Small (<50 employees),Full-time,0.51,High,High
2021,AI Researcher,115279,Finance,Boston,Junior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",174,Yes,4.4,Medium (50-500 employees),Internship,0.27,High,Low
2017,AI Researcher,70774,Education,Austin,Senior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",286,Yes,4.5,Medium (50-500 employees),Contract,0.25,Low,Low
2012,Data Scientist,74861,Research,Chicago,Senior,Low,"Python, SQL, Stats",404,Yes,15.4,Small (<50 employees),Part-time,0.7,High,Medium
2022,Salesforce Administrator,133785,Education,Houston,Mid,Low,"Python, SQL, Stats",149,Hybrid,1.2,Small (<50 employees),Internship,0.38,High,Low
2014,Data Scientist,74930,Technology,San Francisco,Mid,High,"Python, SQL, Stats",138,Yes,4.4,Medium (50-500 employees),Internship,0.27,High,Low
2013,Salesforce Consultant,141500,Education,Austin,Senior,High,"Python, SQL, Stats",448,Hybrid,10.8,Medium (50-500 employees),Internship,0.67,High,Medium
2023,AI Researcher,111736,Healthcare,New York,Mid,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",234,Hybrid,14.7,Large (>500 employees),Full-time,0.71,High,High
2020,Data Scientist,130360,Retail,Austin,Junior,Low,"Sales, CRM",397,No,2.2,Medium (50-500 employees),Contract,0.85,High,High
2021,Salesforce Administrator,108043,Retail,Chicago,Junior,Low,"Python, ML, AI",282,Yes,6.9,Large (>500 employees),Contract,0.7,Medium,Medium
2020,AI Researcher,126026,Technology,Miami,Senior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",296,Yes,4.6,Large (>500 employees),Part-time,0.26,High,Medium
2012,Salesforce Administrator,76234,Research,Miami,Junior,Medium,"Python, SQL, Stats",418,Hybrid,10.3,Large (>500 employees),Full-time,0.11,High,Low
2021,Data Scientist,138808,Retail,San Jose,Senior,Low,"Sales, CRM",253,No,23.1,Large (>500 employees),Part-time,0.95,Medium,Medium
